Date, Value
2018-03-04T08:38:26Z,76
2018-03-04T08:38:36Z,80
2018-03-04T08:38:48Z,77
2018-03-04T08:38:54Z,75
2018-03-04T08:38:58Z,84
2018-03-04T08:39:08Z,88
2018-03-04T08:39:22Z,86
2018-03-04T08:39:31Z,86
2018-03-04T08:39:42Z,82
2018-03-04T08:39:50Z,84
2018-03-04T08:39:56Z,87
2018-03-04T08:40:06Z,86
2018-03-04T08:40:16Z,87
2018-03-04T08:40:23Z,88
2018-03-04T08:40:28Z,82
2018-03-04T08:40:34Z,76
2018-03-04T08:40:41Z,71
2018-03-04T08:40:53Z,74
2018-03-04T08:41:10Z,74
2018-03-04T08:41:22Z,75
2018-03-04T08:41:29Z,81
2018-03-04T08:41:40Z,85
2018-03-04T08:41:49Z,82
2018-03-04T08:42:02Z,78
2018-03-04T08:42:17Z,77
2018-03-04T08:42:33Z,78
2018-03-04T08:42:38Z,77
2018-03-04T08:42:46Z,80
2018-03-04T08:43:00Z,79
2018-03-04T08:43:19Z,81
2018-03-04T08:43:27Z,85
2018-03-04T08:43:36Z,83
2018-03-04T08:43:43Z,79
2018-03-04T08:43:48Z,82
2018-03-04T08:43:55Z,80
2018-03-04T08:44:09Z,76
2018-03-04T08:44:12Z,73
2018-03-04T08:44:19Z,72
2018-03-04T08:44:30Z,73
2018-03-04T08:44:36Z,78
2018-03-04T08:44:47Z,82
2018-03-04T08:44:58Z,79
2018-03-04T08:45:07Z,76
2018-03-04T08:45:20Z,79
2018-03-04T08:45:26Z,74
2018-03-04T08:45:33Z,70
2018-03-04T08:45:43Z,72
2018-03-04T08:45:50Z,71
2018-03-04T08:45:57Z,71
2018-03-04T08:46:03Z,77
2018-03-04T08:46:13Z,77
2018-03-04T08:46:30Z,78
2018-03-04T08:46:39Z,77
2018-03-04T08:46:56Z,78
2018-03-04T08:47:05Z,83
2018-03-04T08:47:14Z,89
2018-03-04T08:47:19Z,92
2018-03-04T08:47:24Z,86
2018-03-04T08:47:33Z,89
2018-03-04T08:47:43Z,88
2018-03-04T08:47:48Z,79
2018-03-04T08:47:57Z,76
2018-03-04T08:48:04Z,74
2018-03-04T08:48:11Z,75
2018-03-04T08:48:17Z,80
2018-03-04T08:48:22Z,73
2018-03-04T08:48:32Z,70
2018-03-04T08:48:45Z,70
2018-03-04T08:48:58Z,74
2018-03-04T08:49:04Z,83
2018-03-04T08:49:09Z,80
2018-03-04T08:49:23Z,79
2018-03-04T08:49:35Z,80
2018-03-04T08:49:48Z,77
2018-03-04T08:49:53Z,70
2018-03-04T08:50:00Z,71
2018-03-04T08:50:05Z,77
2018-03-04T08:50:18Z,81
2018-03-04T08:50:25Z,80
