Date, Value
2018-03-04T21:33:07Z,90
2018-03-04T21:33:18Z,95
2018-03-04T21:33:28Z,99
2018-03-04T21:33:33Z,94
2018-03-04T21:33:40Z,90
2018-03-04T21:33:45Z,87
2018-03-04T21:33:55Z,89
2018-03-04T21:34:00Z,94
2018-03-04T21:34:06Z,97
2018-03-04T21:34:16Z,94
2018-03-04T21:34:25Z,98
2018-03-04T21:34:37Z,102
2018-03-04T21:34:49Z,105
2018-03-04T21:34:58Z,106
2018-03-04T21:35:05Z,104
2018-03-04T21:35:11Z,96
2018-03-04T21:35:21Z,92
2018-03-04T21:35:32Z,93
2018-03-04T21:35:47Z,93
2018-03-04T21:35:57Z,89
2018-03-04T21:36:09Z,86
2018-03-04T21:36:22Z,86
2018-03-04T21:36:31Z,83
2018-03-04T21:36:37Z,85
2018-03-04T21:36:51Z,86
2018-03-04T21:36:57Z,84
2018-03-04T21:37:05Z,83
2018-03-04T21:37:10Z,90
2018-03-04T21:37:19Z,95
2018-03-04T21:37:28Z,92
2018-03-04T21:37:35Z,88
2018-03-04T21:37:46Z,88
2018-03-04T21:37:51Z,94
2018-03-04T21:37:56Z,93
2018-03-04T21:38:10Z,89
2018-03-04T21:38:18Z,95
2018-03-04T21:38:27Z,95
2018-03-04T21:38:33Z,88
2018-03-04T21:38:43Z,83
2018-03-04T21:38:50Z,86
2018-03-04T21:38:59Z,88
2018-03-04T21:39:08Z,84
2018-03-04T21:39:21Z,87
2018-03-04T21:39:29Z,90
2018-03-04T21:39:38Z,86
2018-03-04T21:39:45Z,88
2018-03-04T21:39:50Z,87
2018-03-04T21:40:02Z,85
2018-03-04T21:40:11Z,84
2018-03-04T21:40:25Z,83
2018-03-04T21:40:32Z,83
2018-03-04T21:40:46Z,85
2018-03-04T21:40:52Z,88
2018-03-04T21:40:57Z,92
2018-03-04T21:41:03Z,96
2018-03-04T21:41:12Z,99
2018-03-04T21:41:20Z,98
2018-03-04T21:41:29Z,103
2018-03-04T21:41:35Z,96
2018-03-04T21:41:40Z,87
2018-03-04T21:41:50Z,82
2018-03-04T21:42:04Z,81
2018-03-04T21:42:10Z,84
2018-03-04T21:42:22Z,82
2018-03-04T21:42:32Z,82
2018-03-04T21:42:38Z,83
2018-03-04T21:42:51Z,82
2018-03-04T21:42:59Z,83
2018-03-04T21:43:06Z,88
2018-03-04T21:43:11Z,87
2018-03-04T21:43:28Z,85
2018-03-04T21:43:35Z,93
2018-03-04T21:43:41Z,105
2018-03-04T21:43:47Z,103
2018-03-04T21:43:59Z,101
2018-03-04T21:44:06Z,105
2018-03-04T21:44:18Z,108
2018-03-04T21:44:27Z,106
2018-03-04T21:44:41Z,104
2018-03-04T21:44:54Z,103
2018-03-04T21:45:03Z,102
2018-03-04T21:45:13Z,99
2018-03-04T21:45:18Z,102
2018-03-04T21:45:27Z,106
2018-03-04T21:45:37Z,109
2018-03-04T21:45:47Z,109
2018-03-04T21:45:56Z,107
2018-03-04T21:46:01Z,103
2018-03-04T21:46:07Z,98
2018-03-04T21:46:13Z,94
2018-03-04T21:46:19Z,90
2018-03-04T21:46:27Z,92
2018-03-04T21:46:33Z,96
2018-03-04T21:46:43Z,98
2018-03-04T21:46:49Z,102
2018-03-04T21:46:54Z,106
2018-03-04T21:47:03Z,105
2018-03-04T21:47:17Z,106
2018-03-04T21:47:30Z,104
2018-03-04T21:47:40Z,107
2018-03-04T21:48:00Z,105
2018-03-04T21:48:08Z,102
2018-03-04T21:48:14Z,98
2018-03-04T21:48:21Z,94
2018-03-04T21:48:26Z,90
2018-03-04T21:48:32Z,90
2018-03-04T21:48:43Z,92
2018-03-04T21:48:54Z,96
2018-03-04T21:49:01Z,101
2018-03-04T21:49:09Z,105
2018-03-04T21:49:15Z,106
2018-03-04T21:49:25Z,103
2018-03-04T21:49:30Z,100
2018-03-04T21:49:43Z,97
2018-03-04T21:49:52Z,93
2018-03-04T21:50:07Z,87
2018-03-04T21:50:15Z,88
2018-03-04T21:50:29Z,92
2018-03-04T21:50:40Z,88
2018-03-04T21:50:49Z,86
2018-03-04T21:50:58Z,89
2018-03-04T21:51:05Z,87
2018-03-04T21:51:17Z,86
2018-03-04T21:51:37Z,85
2018-03-04T21:51:47Z,86
2018-03-04T21:51:59Z,86
2018-03-04T21:52:07Z,89
2018-03-04T21:52:25Z,88
2018-03-04T21:52:35Z,90
2018-03-04T21:52:40Z,91
2018-03-04T21:52:48Z,91
2018-03-04T21:52:58Z,86
2018-03-04T21:53:13Z,85
2018-03-04T21:53:22Z,85
2018-03-04T21:53:37Z,85
2018-03-04T21:53:53Z,86
2018-03-04T21:54:08Z,84
2018-03-04T21:54:18Z,83
2018-03-04T21:54:27Z,82
2018-03-04T21:54:42Z,82
2018-03-04T21:54:56Z,83
2018-03-04T21:55:10Z,85
2018-03-04T21:55:23Z,85
2018-03-04T21:55:38Z,86
2018-03-04T21:55:47Z,86
2018-03-04T21:55:54Z,91
2018-03-04T21:56:03Z,92
2018-03-04T21:56:08Z,98
2018-03-04T21:56:13Z,96
2018-03-04T21:56:18Z,90
2018-03-04T21:56:30Z,85
2018-03-04T21:56:37Z,85
2018-03-04T21:56:49Z,83
2018-03-04T21:56:55Z,89
2018-03-04T21:57:00Z,91
2018-03-04T21:57:12Z,92
2018-03-04T21:57:23Z,89
2018-03-04T21:57:40Z,87
2018-03-04T21:57:55Z,82
2018-03-04T21:58:00Z,83
2018-03-04T21:58:13Z,85
2018-03-04T21:58:20Z,85
2018-03-04T21:58:29Z,86
2018-03-04T21:58:42Z,86
2018-03-04T21:58:48Z,88
2018-03-04T21:58:58Z,90
2018-03-04T21:59:12Z,88
2018-03-04T21:59:18Z,88
2018-03-04T21:59:27Z,95
2018-03-04T21:59:32Z,88
2018-03-04T21:59:39Z,86
2018-03-04T21:59:55Z,86
2018-03-04T22:00:04Z,85
2018-03-04T22:00:10Z,89
2018-03-04T22:00:19Z,91
2018-03-04T22:00:24Z,87
2018-03-04T22:00:33Z,86
2018-03-04T22:00:38Z,83
2018-03-04T22:00:46Z,86
2018-03-04T22:00:57Z,86
2018-03-04T22:01:10Z,85
2018-03-04T22:01:23Z,83
2018-03-04T22:01:35Z,83
2018-03-04T22:01:56Z,84
2018-03-04T22:02:13Z,84
2018-03-04T22:02:20Z,89
2018-03-04T22:02:32Z,93
2018-03-04T22:02:45Z,90
2018-03-04T22:02:56Z,87
2018-03-04T22:03:03Z,86
2018-03-04T22:03:15Z,84
2018-03-04T22:03:26Z,85
2018-03-04T22:03:32Z,86
2018-03-04T22:03:41Z,84
2018-03-04T22:03:46Z,85
2018-03-04T22:03:59Z,86
2018-03-04T22:04:09Z,75
2018-03-04T22:04:14Z,69
2018-03-04T22:04:19Z,83
2018-03-04T22:04:28Z,91
2018-03-04T22:04:37Z,89
2018-03-04T22:04:50Z,86
2018-03-04T22:05:06Z,85
2018-03-04T22:05:11Z,81
2018-03-04T22:05:25Z,83
2018-03-04T22:05:37Z,86
2018-03-04T22:05:54Z,85
2018-03-04T22:06:09Z,85
2018-03-04T22:06:19Z,86
2018-03-04T22:06:34Z,85
2018-03-04T22:06:47Z,85
2018-03-04T22:06:53Z,86
2018-03-04T22:07:10Z,89
2018-03-04T22:07:16Z,94
2018-03-04T22:07:21Z,96
2018-03-04T22:07:28Z,90
2018-03-04T22:07:42Z,88
2018-03-04T22:07:57Z,89
2018-03-04T22:08:10Z,89
2018-03-04T22:08:19Z,91
2018-03-04T22:08:29Z,88
2018-03-04T22:08:45Z,85
2018-03-04T22:08:53Z,91
2018-03-04T22:09:01Z,96
2018-03-04T22:09:14Z,95
2018-03-04T22:09:19Z,97
2018-03-04T22:09:27Z,101
2018-03-04T22:09:32Z,107
2018-03-04T22:09:37Z,112
2018-03-04T22:09:48Z,112
2018-03-04T22:09:55Z,104
2018-03-04T22:10:05Z,98
2018-03-04T22:10:15Z,97
2018-03-04T22:10:24Z,97
2018-03-04T22:10:33Z,99
2018-03-04T22:10:44Z,99
2018-03-04T22:10:51Z,102
2018-03-04T22:10:58Z,104
2018-03-04T22:11:06Z,104
2018-03-04T22:11:15Z,103
2018-03-04T22:11:20Z,99
2018-03-04T22:11:25Z,95
2018-03-04T22:11:32Z,96
2018-03-04T22:11:39Z,100
2018-03-04T22:11:49Z,101
2018-03-04T22:11:58Z,101
2018-03-04T22:12:08Z,105
2018-03-04T22:12:14Z,109
2018-03-04T22:12:23Z,111
2018-03-04T22:12:36Z,110
2018-03-04T22:12:42Z,112
2018-03-04T22:12:48Z,104
2018-03-04T22:12:59Z,100
2018-03-04T22:13:07Z,98
2018-03-04T22:13:14Z,97
2018-03-04T22:13:24Z,92
2018-03-04T22:13:37Z,89
2018-03-04T22:13:47Z,88
2018-03-04T22:13:56Z,88
2018-03-04T22:14:06Z,86
2018-03-04T22:14:17Z,85
2018-03-04T22:14:26Z,89
2018-03-04T22:14:42Z,88
2018-03-04T22:14:59Z,88
2018-03-04T22:15:06Z,91
2018-03-04T22:15:17Z,91
2018-03-04T22:15:29Z,88
2018-03-04T22:15:38Z,88
2018-03-04T22:15:46Z,86
2018-03-04T22:15:55Z,88
2018-03-04T22:16:04Z,88
2018-03-04T22:16:15Z,86
2018-03-04T22:16:28Z,86
2018-03-04T22:16:38Z,88
2018-03-04T22:16:50Z,92
2018-03-04T22:16:59Z,94
2018-03-04T22:17:09Z,89
2018-03-04T22:17:18Z,89
2018-03-04T22:17:31Z,85
2018-03-04T22:17:41Z,85
2018-03-04T22:17:49Z,88
2018-03-04T22:18:00Z,86
2018-03-04T22:18:12Z,88
2018-03-04T22:18:20Z,87
2018-03-04T22:18:34Z,86
2018-03-04T22:18:43Z,89
2018-03-04T22:18:51Z,87
2018-03-04T22:18:56Z,93
2018-03-04T22:19:01Z,87
2018-03-04T22:19:14Z,86
2018-03-04T22:19:20Z,91
2018-03-04T22:19:25Z,89
2018-03-04T22:19:34Z,89
2018-03-04T22:19:45Z,86
2018-03-04T22:19:54Z,91
2018-03-04T22:19:59Z,98
2018-03-04T22:20:04Z,95
2018-03-04T22:20:14Z,89
